"generation","mean_true","var_true","arm"
0,9.60733618352148,0.184360367432366,"A_phenotypic_mass"
1,9.97781871579389,0.173884731233633,"A_phenotypic_mass"
2,10.2776728644691,0.158641802915362,"A_phenotypic_mass"
3,10.6281654460054,0.151485615362585,"A_phenotypic_mass"
4,10.9263538559985,0.170351055235519,"A_phenotypic_mass"
5,11.2330186408886,0.146142486403042,"A_phenotypic_mass"
6,11.5583218112283,0.144194736080677,"A_phenotypic_mass"
7,11.8811719239787,0.12657285217777,"A_phenotypic_mass"
8,12.1978705069158,0.115411643297099,"A_phenotypic_mass"
9,12.4867109444625,0.114053222890271,"A_phenotypic_mass"
10,12.7588034180969,0.118392345140334,"A_phenotypic_mass"
11,13.044096734749,0.113172737871779,"A_phenotypic_mass"
12,13.3729048170331,0.105992545792851,"A_phenotypic_mass"
0,9.60733618352148,0.184360367432366,"B_multitrait_index"
1,9.99361168098197,0.172000046929948,"B_multitrait_index"
2,10.3837958763127,0.166688809000391,"B_multitrait_index"
3,10.7336844452121,0.163887798906254,"B_multitrait_index"
4,11.0912032237526,0.153412928211525,"B_multitrait_index"
5,11.4795633707137,0.14582724442202,"B_multitrait_index"
6,11.8334028275639,0.133729677863294,"B_multitrait_index"
7,12.1650531306489,0.139158016638184,"B_multitrait_index"
8,12.5297586538594,0.142622396745266,"B_multitrait_index"
9,12.894435734816,0.136621300792672,"B_multitrait_index"
10,13.2611322149387,0.117903129875288,"B_multitrait_index"
11,13.5595473482705,0.0966910405792707,"B_multitrait_index"
12,13.8302067098567,0.0952818813197655,"B_multitrait_index"
0,9.60733618352148,0.184360367432366,"C_genomic_selection"
1,9.86882613444805,0.182117371669174,"C_genomic_selection"
2,10.1311309324098,0.193837903493907,"C_genomic_selection"
3,10.430151422423,0.168388738796386,"C_genomic_selection"
4,10.7325066079837,0.17224337196221,"C_genomic_selection"
5,10.9672353443005,0.18045182055451,"C_genomic_selection"
6,11.2479161873334,0.156507860607063,"C_genomic_selection"
7,11.5131254465782,0.135874803602298,"C_genomic_selection"
8,11.7974333621484,0.137925683572138,"C_genomic_selection"
9,11.9911638531828,0.132018326154936,"C_genomic_selection"
10,12.194046448249,0.11905775605132,"C_genomic_selection"
11,12.4036763818971,0.115729764290289,"C_genomic_selection"
12,12.5333014442788,0.101101742613204,"C_genomic_selection"
