"generation","mean_true","var_true","gs_accuracy","arm"
0,9.60733618352148,0.184360367432366,NA,"C_genomic_selection"
1,9.86882613444805,0.182117371669174,0.308760211684038,"C_genomic_selection"
2,10.1311309324098,0.193837903493907,0.337479993792291,"C_genomic_selection"
3,10.430151422423,0.168388738796386,0.297980477943066,"C_genomic_selection"
4,10.7325066079837,0.17224337196221,0.359313705391918,"C_genomic_selection"
5,10.9672353443005,0.18045182055451,0.317192957463773,"C_genomic_selection"
6,11.2479161873334,0.156507860607063,0.325492740209051,"C_genomic_selection"
7,11.5131254465782,0.135874803602298,0.416354867369529,"C_genomic_selection"
8,11.7974333621484,0.137925683572138,0.365873752151891,"C_genomic_selection"
9,11.9911638531828,0.132018326154936,0.148074305536139,"C_genomic_selection"
10,12.194046448249,0.11905775605132,0.29038270191354,"C_genomic_selection"
11,12.4036763818971,0.115729764290289,0.291965658175732,"C_genomic_selection"
12,12.5333014442788,0.101101742613204,0.164410540206357,"C_genomic_selection"
